Postal code,n_positives,city
50016,0,Zaragoza
50017,0,Zaragoza
50018,8,Zaragoza
50019,1,Zaragoza
50021,6,Zaragoza
50100,5,Zaragoza
50130,16,Zaragoza
50172,12,Zaragoza
50180,10,Zaragoza
50194,0,Zaragoza
50300,2,Zaragoza
50410,13,Zaragoza
50540,3,Borja
50620,2,Zaragoza
50630,0,Zaragoza
50692,0,Zaragoza
50720,0,Zaragoza
50781,0,Zaragoza
50800,1,Zaragoza
50830,12,Zaragoza
52005,2,Melilla
52006,2,Melilla
