Postal code,Value test,City,Geo Location
11500.0,-3,Cádiz,"{""latitude"":36.61155195495863,""longitude"":-6.280699266489014}"
11510.0,2,Cádiz,"{""latitude"":36.52659881136654,""longitude"":-6.191760331311449}"
11519.0,2,Cádiz,"{""latitude"":36.5221952,""longitude"":-6.2273077}"
11520.0,0,Rota,"19.4417277,-99.1900193"
11540.0,1,Cádiz,"{""latitude"":36.7797703,""longitude"":-6.3608566}"
11630.0,0,Cádiz,"{""latitude"":36.75779406862541,""longitude"":-5.8130469336912975}"
11650.0,1,Cádiz,"{""latitude"":36.8623939,""longitude"":-5.646811}"
11680.0,-2,Cádiz,"{""latitude"":36.8809457,""longitude"":-5.402503}"
12003.0,0,Castelló,"{""latitude"":39.9902037,""longitude"":-0.0310307}"
12004.0,7,Castelló,"{""latitude"":39.993259,""longitude"":-0.0354241}"
12005.0,2,Castelló,"{""latitude"":39.9788698,""longitude"":-0.0386738}"
12006.0,6,Castelló,"{""latitude"":39.9908978019364,""longitude"":-0.06101950621921028}"
12110.0,50,Castelló,"{""latitude"":40.0765046,""longitude"":-0.2146006}"
12190.0,0,Castelló,"{""latitude"":40.015471258589756,""longitude"":-0.12135369325756704}"
12200.0,4,Castelló,"{""latitude"":39.967228331235404,""longitude"":-0.2574538459861124}"
12420.0,0,Castellón,"{""latitude"":""40.0186876"",""longitude"":""-0.6983433""}"
12428.0,0,Castelló,"{""latitude"":40.0587757,""longitude"":-0.6471003}"
12460.0,1,Castellón,"{""latitude"":""39.9235217"",""longitude"":""-0.5978241""}"
